"Posting ID","Month","Ring","Sphere","RAG","First Draft Due","Second Draft Due","Posting Date","Comment","Posting Time Range","Instant Or Scheduled","Manager Approval","Posting Manager","Content","Assigned To","Post Type","Series","Title","Content Detail","Platform","Content Type","Live Sessions","Target Region","Target Language"
"70","May","72D Social Media","CANNES","FALSE","2019-05-19","","","","10","0","0","0","72 Dragons At Cannes","Nagesh","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"69","May","72D Social Media","CANNES","FALSE","2019-05-19","","","","10","0","0","0","72 Dragons At Cannes","Hinly","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"68","May","72D Social Media","CANNES","FALSE","2019-05-19","","","","10","0","0","0","72 Dragons At Cannes","Hannah","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"67","May","72D Social Media","CANNES","FALSE","2019-05-19","","","","10","0","0","0","72 Dragons At Cannes","Susan","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"66","May","72D Social Media","CANNES","FALSE","2019-05-19","","","","10","0","0","0","Market Participants","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"65","May","72D Social Media","CANNES","FALSE","2019-05-18","","","","0","0","0","0","72 Dragons At Cannes","Nagesh","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Video and Photo","","Global","English"
"64","May","72D Social Media","CANNES","FALSE","2019-05-18","","","","0","0","0","0","72 Dragons At Cannes","Hinly","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Video and Photo","","Global","English"
"63","May","72D Social Media","CANNES","FALSE","2019-05-18","","","","0","0","0","0","72 Dragons At Cannes","Hannah","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Video and Photo","","Global","English"
"62","May","72D Social Media","CANNES","FALSE","2019-05-18","","","","0","0","0","0","72 Dragons At Cannes","Susan","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Video and Photo","","Global","English"
"61","May","72D Social Media","CANNES","FALSE","2019-05-18","","","","0","0","0","0","The Market","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Video and Photo","","Global","English"
